line_key,priority,reconciliation_status,match_method,confidence_score,absolute_exposure,anomaly_flags
TXN-A-002139-L4122,HIGH,UNRESOLVED,GENERIC_STRENGTH_EQUIVALENT,85.00,54102.88,HIGH_VALUE_OUTLIER;UNRESOLVED_TRANSACTION
TXN-A-002143-L4130,HIGH,MISSING_IN_SOURCE_B,UNMATCHED,0.00,26560.64,HIGH_VALUE_OUTLIER;MISSING_COUNTERPART
TXN-A-002128-L4100,HIGH,UNRESOLVED,POSSIBLE_SUBSTITUTE,70.00,26278.56,HIGH_VALUE_OUTLIER;LOW_CONFIDENCE_MATCH;UNRESOLVED_TRANSACTION
TXN-A-002133-L4110,HIGH,MISSING_IN_SOURCE_B,UNMATCHED,0.00,19362.24,HIGH_VALUE_OUTLIER;MISSING_COUNTERPART
TXN-A-002140-L4124,HIGH,UNRESOLVED,GENERIC_STRENGTH_EQUIVALENT,85.00,15951.87,HIGH_VALUE_OUTLIER;UNRESOLVED_TRANSACTION
TXN-A-002137-L4118,HIGH,MISSING_IN_SOURCE_B,UNMATCHED,0.00,13253.93,HIGH_VALUE_OUTLIER;MISSING_COUNTERPART
TXN-A-002130-L4104,HIGH,UNRESOLVED,POSSIBLE_SUBSTITUTE,70.00,3961.30,HIGH_VALUE_OUTLIER;LOW_CONFIDENCE_MATCH;UNRESOLVED_TRANSACTION
TXN-A-002127-L4098,HIGH,UNRESOLVED,POSSIBLE_SUBSTITUTE,70.00,3798.86,HIGH_VALUE_OUTLIER;LOW_CONFIDENCE_MATCH;UNRESOLVED_TRANSACTION
TXN-A-002132-L4108,HIGH,UNRESOLVED,GENERIC_STRENGTH_EQUIVALENT,85.00,2147.68,HIGH_VALUE_OUTLIER;UNRESOLVED_TRANSACTION
TXN-A-002186-L4206,HIGH,MISSING_IN_SOURCE_B,UNMATCHED,0.00,1474.58,MISSING_COUNTERPART
TXN-A-002183-L4203,HIGH,MISSING_IN_SOURCE_B,UNMATCHED,0.00,1270.87,MISSING_COUNTERPART
TXN-A-001730-L3474,HIGH,UNRESOLVED,POSSIBLE_SUBSTITUTE,70.00,1252.65,LOW_CONFIDENCE_MATCH;UNRESOLVED_TRANSACTION
TXN-A-002185-L4205,HIGH,MISSING_IN_SOURCE_B,UNMATCHED,0.00,1224.91,MISSING_COUNTERPART
TXN-A-002252-L4323,HIGH,UNRESOLVED,GENERIC_STRENGTH_EQUIVALENT,85.00,1117.42,UNRESOLVED_TRANSACTION
TXN-A-002176-L4196,HIGH,MISSING_IN_SOURCE_B,UNMATCHED,0.00,1104.34,MISSING_COUNTERPART
TXN-A-002178-L4198,HIGH,MISSING_IN_SOURCE_B,UNMATCHED,0.00,1086.96,MISSING_COUNTERPART
TXN-A-002089-L4059,HIGH,MISSING_IN_SOURCE_B,UNMATCHED,0.00,1062.59,MISSING_COUNTERPART
TXN-A-002204-L4227,HIGH,UNRESOLVED,GENERIC_STRENGTH_EQUIVALENT,85.00,1056.98,UNRESOLVED_TRANSACTION
TXN-A-001762-L3538,HIGH,UNRESOLVED,GENERIC_STRENGTH_EQUIVALENT,85.00,1038.13,UNRESOLVED_TRANSACTION
TXN-A-002058-L4028,HIGH,MISSING_IN_SOURCE_B,UNMATCHED,0.00,999.64,MISSING_COUNTERPART
TXN-A-002189-L4209,HIGH,MISSING_IN_SOURCE_B,UNMATCHED,0.00,926.25,MISSING_COUNTERPART
TXN-A-002065-L4035,HIGH,MISSING_IN_SOURCE_B,UNMATCHED,0.00,903.85,MISSING_COUNTERPART
TXN-A-002284-L4387,HIGH,MISSING_IN_SOURCE_B,UNMATCHED,0.00,833.21,MISSING_COUNTERPART
TXN-A-002181-L4201,HIGH,MISSING_IN_SOURCE_B,UNMATCHED,0.00,814.53,MISSING_COUNTERPART
TXN-A-002245-L4309,HIGH,MISSING_IN_SOURCE_B,UNMATCHED,0.00,777.37,MISSING_COUNTERPART
TXN-A-002055-L4025,HIGH,MISSING_IN_SOURCE_B,UNMATCHED,0.00,752.26,MISSING_COUNTERPART
TXN-A-002046-L4016,HIGH,MISSING_IN_SOURCE_B,UNMATCHED,0.00,707.18,MISSING_COUNTERPART
TXN-A-002228-L4275,HIGH,MISSING_IN_SOURCE_B,UNMATCHED,0.00,701.54,MISSING_COUNTERPART
TXN-A-002196-L4216,HIGH,MISSING_IN_SOURCE_B,UNMATCHED,0.00,696.83,MISSING_COUNTERPART
TXN-A-002048-L4018,HIGH,MISSING_IN_SOURCE_B,UNMATCHED,0.00,682.60,MISSING_COUNTERPART
TXN-A-002199-L4219,HIGH,MISSING_IN_SOURCE_B,UNMATCHED,0.00,640.26,MISSING_COUNTERPART
TXN-A-002215-L4249,HIGH,MISSING_IN_SOURCE_B,UNMATCHED,0.00,637.05,MISSING_COUNTERPART
TXN-A-002267-L4353,HIGH,MISSING_IN_SOURCE_B,UNMATCHED,0.00,589.39,MISSING_COUNTERPART
TXN-A-002069-L4039,HIGH,MISSING_IN_SOURCE_B,UNMATCHED,0.00,572.01,MISSING_COUNTERPART
TXN-A-002248-L4315,HIGH,MISSING_IN_SOURCE_B,UNMATCHED,0.00,566.94,MISSING_COUNTERPART
TXN-A-002177-L4197,HIGH,MISSING_IN_SOURCE_B,UNMATCHED,0.00,563.78,MISSING_COUNTERPART
TXN-A-002192-L4212,HIGH,MISSING_IN_SOURCE_B,UNMATCHED,0.00,563.20,MISSING_COUNTERPART
TXN-A-002073-L4043,HIGH,MISSING_IN_SOURCE_B,UNMATCHED,0.00,539.35,MISSING_COUNTERPART
TXN-A-002040-L01,HIGH,MISSING_IN_SOURCE_B,UNMATCHED,0.00,519.99,MISSING_COUNTERPART
TXN-A-002229-L4277,HIGH,MISSING_IN_SOURCE_B,UNMATCHED,0.00,514.57,MISSING_COUNTERPART
TXN-A-002225-L4269,HIGH,MISSING_IN_SOURCE_B,UNMATCHED,0.00,513.83,MISSING_COUNTERPART
TXN-A-002002-L01,HIGH,MISSING_IN_SOURCE_B,UNMATCHED,0.00,501.52,MISSING_COUNTERPART
TXN-A-002002-L02,HIGH,MISSING_IN_SOURCE_B,UNMATCHED,0.00,501.52,MISSING_COUNTERPART
TXN-A-002197-L4217,HIGH,MISSING_IN_SOURCE_B,UNMATCHED,0.00,501.20,MISSING_COUNTERPART
TXN-A-001589-L3164,MEDIUM,UNRESOLVED,GENERIC_STRENGTH_EQUIVALENT,85.00,973.41,UNRESOLVED_TRANSACTION
TXN-A-002214-L4247,MEDIUM,UNRESOLVED,GENERIC_STRENGTH_EQUIVALENT,85.00,927.24,UNRESOLVED_TRANSACTION
TXN-A-001768-L3550,MEDIUM,UNRESOLVED,POSSIBLE_SUBSTITUTE,70.00,918.45,LOW_CONFIDENCE_MATCH;UNRESOLVED_TRANSACTION
TXN-A-002025-L01,MEDIUM,UNRESOLVED,GENERIC_STRENGTH_EQUIVALENT,85.00,879.62,UNRESOLVED_TRANSACTION;UNRESOLVED_TRANSACTION
TXN-A-002025-L01,MEDIUM,UNRESOLVED,GENERIC_STRENGTH_EQUIVALENT,85.00,879.62,UNRESOLVED_TRANSACTION;UNRESOLVED_TRANSACTION
TXN-A-001719-L3452,MEDIUM,UNRESOLVED,GENERIC_STRENGTH_EQUIVALENT,85.00,871.43,UNRESOLVED_TRANSACTION
TXN-A-001883-L3780,MEDIUM,UNRESOLVED,POSSIBLE_SUBSTITUTE,70.00,818.65,LOW_CONFIDENCE_MATCH;UNRESOLVED_TRANSACTION
TXN-A-001565-L3140,MEDIUM,UNRESOLVED,GENERIC_STRENGTH_EQUIVALENT,85.00,816.45,UNRESOLVED_TRANSACTION
TXN-A-002232-L4283,MEDIUM,UNRESOLVED,GENERIC_STRENGTH_EQUIVALENT,85.00,812.31,UNRESOLVED_TRANSACTION
TXN-A-002043-L01,MEDIUM,UNRESOLVED,POSSIBLE_SUBSTITUTE,70.00,792.93,LOW_CONFIDENCE_MATCH;UNRESOLVED_TRANSACTION;LOW_CONFIDENCE_MATCH;UNRESOLVED_TRANSACTION
