employee_id,employee_label,branch_id
EMP-0001,Employee 0001,BR-001
EMP-0002,Employee 0002,BR-002
EMP-0003,Employee 0003,BR-003
EMP-0004,Employee 0004,BR-004
EMP-0005,Employee 0005,BR-005
EMP-0006,Employee 0006,BR-006
EMP-0007,Employee 0007,BR-007
EMP-0008,Employee 0008,BR-008
EMP-0009,Employee 0009,BR-009
EMP-0010,Employee 0010,BR-010
EMP-0011,Employee 0011,BR-001
EMP-0012,Employee 0012,BR-002
EMP-0013,Employee 0013,BR-003
EMP-0014,Employee 0014,BR-004
EMP-0015,Employee 0015,BR-005
EMP-0016,Employee 0016,BR-006
EMP-0017,Employee 0017,BR-007
EMP-0018,Employee 0018,BR-008
EMP-0019,Employee 0019,BR-009
EMP-0020,Employee 0020,BR-010
EMP-0021,Employee 0021,BR-001
EMP-0022,Employee 0022,BR-002
EMP-0023,Employee 0023,BR-003
EMP-0024,Employee 0024,BR-004
EMP-0025,Employee 0025,BR-005
EMP-0026,Employee 0026,BR-006
EMP-0027,Employee 0027,BR-007
EMP-0028,Employee 0028,BR-008
EMP-0029,Employee 0029,BR-009
EMP-0030,Employee 0030,BR-010
EMP-0031,Employee 0031,BR-001
EMP-0032,Employee 0032,BR-002
